,Food ,Mines,Oil  ,Clths,Durbl,Chems,Cnsum,Cnstr,Steel,FabPr,Machn,Cars ,Trans,Utils,Rtail,Finan,Other
192607,   0.48,   3.78,  -1.41,   6.03,  -1.62,   8.46,   1.42,   2.31,   4.07,   8.77,   3.79,  17.43,   1.84,   7.04,   0.13,   0.37,   1.22
192608,   2.91,   0.69,   3.60,   0.19,  -1.96,   5.70,   5.84,   4.33,   2.17,  -5.56,   2.35,   3.96,   4.57,  -1.69,  -0.68,   4.46,   3.11
192609,   1.20,   1.10,  -3.68,   0.26,   0.24,   5.48,   1.21,  -0.06,   0.15,  -4.13,  -0.65,   5.57,   0.30,   2.04,   0.21,  -1.23,   1.82
192610,  -3.06,  -0.79,  -1.02,   0.37,  -6.07,  -4.76,   0.69,  -4.79,  -3.85,  -5.13,  -3.29,  -8.29,  -2.92,  -2.63,  -2.26,  -5.16,  -0.88
192611,   6.37,   4.38,  -0.01,   2.22,  -1.95,   5.27,   4.63,   2.45,   3.86,   3.57,   4.54,  -0.28,   2.18,   3.71,   6.44,   2.24,   1.38
192612,  -0.57,   1.66,   2.92,   2.18,   3.79,   5.20,   2.27,   4.30,   3.75,  -3.85,   1.29,  10.80,   3.48,  -0.17,   0.61,   2.68,   1.82
192701,  -0.82,   1.00,   1.71,  -1.18,   4.66,   0.40,   0.34,  -2.78,  -0.39,  -2.29,  -0.58,  -1.09,   1.24,  -1.79,  -2.53,  -2.38,   1.77
192702,   4.56,   5.38,   0.98,   4.16,   2.29,   9.77,   1.60,   4.57,   3.67,   6.11,   5.34,   9.55,   5.13,   4.53,   3.61,   2.97,   4.32
192703,   1.81,   4.86,  -7.00,  -0.92,  -2.48,   6.00,   4.86,   3.91,   1.48,  -9.00,   0.66,   1.75,   0.79,   0.37,  -0.39,   1.36,   3.62
192704,   2.73,   2.14,  -5.81,   4.45,   2.31,   3.09,   3.76,  -0.71,  -0.34,   5.14,   4.98,   3.11,   0.60,   1.71,   4.47,   2.89,  -1.90
192705,   6.21,   1.49,   4.97,   6.00,   8.34,   4.00,  10.85,   5.90,   3.22,   6.38,   7.73,   5.91,   7.30,   9.21,   2.34,  10.25,   3.50
192706,  -2.03,  -2.54,  -3.13,   1.49,  -3.52,  -1.84,  -2.08,  -4.53,  -3.42,   6.41,   1.64,  -2.95,  -2.16,  -3.57,  -0.61,  -0.03,  -2.48
192707,   5.03,   6.06,   2.90,   5.48,   5.93,  17.87,   4.87,   6.74,  10.33,  10.83,  11.85,  13.72,   6.61,   5.31,   9.88,   6.59,   4.52
192708,   2.23,   1.54,  -0.28,   1.21,   0.75,   2.14,   3.47,  -0.73,   3.97,   2.67,   4.21,   7.42,  -1.10,   3.43,   7.38,   1.70,   1.73
192709,   6.05,   4.70,   3.43,   3.77,   2.85,   5.88,   4.50,   5.86,   3.77,  -0.04,   2.08,   5.95,   4.24,   8.29,   7.54,   6.17,   6.57
192710,  -2.43,  -4.00,  -1.85,   6.11,  -5.34,  -7.53,   0.68,  -4.85,  -7.82,  -0.91,  -7.33,  -4.31,  -4.82,  -4.34,  -4.91,   4.10,  -1.59
192711,   7.22,   7.95,   3.81,   3.98,   0.31,   8.89,   6.44,   5.90,  12.44,  15.23,  10.48,   6.55,   4.36,   6.32,  11.75,   8.00,   5.27
192712,   3.68,   7.09,   1.30,   1.34,  10.41,  -0.21,   0.99,   0.32,   5.84,   3.02,   2.21,   7.79,   0.39,   2.24,  -0.70,  11.08,   0.83
192801,   2.50,  -2.39,  -1.80,   2.70,  -1.34,  -1.33,  -1.34,   2.49,  -2.42,   2.48,  -1.03,  -3.40,  -0.62,   5.87,  -0.88,   1.45,   0.76
192802,  -2.99,  -5.49,  -0.09,  -3.93,  -3.72,   0.97,  -4.88,   0.92,  -2.72,   0.64,  -1.09,   1.60,  -1.73,  -0.68,  -1.09,  -2.79,  -1.21
192803,   5.27,   6.61,   5.36,   6.40,  16.75,  13.32,   3.00,   6.60,   6.16,  12.21,  12.80,  28.63,   5.86,   6.62,   8.50,   9.57,   6.42
192804,   2.73,   0.31,  16.39,   2.50,   1.41,  -0.31,  -4.70,   2.05,   1.43,   0.90,   2.98,   1.21,   4.13,  10.94,  -0.02,   8.87,   3.34
192805,   1.67,   0.92,  -5.69,  -3.59,  -0.79,   3.16,   0.82,  -1.29,   5.52,   7.82,   1.46,   6.16,  -0.59,   1.51,   3.81,   2.28,   6.26
192806,  -3.94,  -4.45,  -3.83,  -8.94, -11.33,  -2.93,  -3.89,  -3.69,  -5.84,  -5.75,  -3.79,  -3.58,  -4.07,  -3.43,  -3.38,  -9.91,  -6.70
192807,   1.05,  -1.08,   1.21,  -1.77,  -0.94,   1.91,   3.52,   1.78,   2.74,   6.21,   0.95,   1.08,  -0.47,  -1.24,   5.50,   0.29,  -0.88
192808,   7.93,   6.21,   2.43,   1.14,   8.45,   8.91,   6.10,   4.54,   9.63,  16.23,   8.21,   8.93,   4.21,   6.46,  13.64,   5.23,   6.98
192809,   1.72,   1.76,   5.82,   1.41,   5.73,   3.84,   0.30,   5.17,   5.58,  -2.17,   1.86,   8.30,   0.20,   3.76,   0.16,  12.14,   0.94
192810,  -0.39,   1.93,   2.40,   1.69,   8.63,   5.48,   2.91,   5.11,   6.51,  -0.97,   1.44,  -0.15,  -1.30,  -1.89,   5.84,   2.60,   2.18
192811,   6.60,  12.53,  17.96,   6.31,  12.19,  12.36,   7.68,   9.60,  14.90,   5.06,  16.01,   4.26,   9.43,  21.93,  15.34,  10.00,  10.96
192812,   0.48,   1.22,  -4.57,  -3.63,  -3.64,   2.32,  -1.80,   1.39,   3.84,   1.61,   7.21,  -0.92,   0.37,   1.57,  -1.29,   1.17,   0.47
192901,   3.60,   6.70,  -8.10,  -1.52,   8.56,  23.10,   3.66,   8.46,   7.78,   3.47,  12.19,   1.01,   4.34,  13.17,  -3.86,   8.26,   9.55
192902,  -1.71,   6.49,  -0.14,  -0.44,  -5.97,  -0.24,  -4.30,  -3.39,   8.83,   7.31,  -1.24,   0.32,  -1.22,  -1.99,  -2.42,   0.83,   0.47
192903,  -4.67,   1.53,  12.22,  -6.43,  -7.77,  -3.52,  -4.17,  -5.76,  -0.07,   1.76,  -2.38,  -1.57,  -2.46,  -3.17,  -5.09,  -1.22,   6.15
192904,   3.86,  -5.00,   0.81,   3.10,   0.32,   3.87,  -1.58,   3.47,   1.15,  10.99,   3.51,  -0.88,   1.13,   5.13,   3.76,   0.46,   1.02
192905,  -5.22,  -9.58,  -5.62, -10.83, -10.25,  -7.06,  -2.23,  -6.92, -12.41,  -6.47,  -0.24, -15.24,   1.44,   4.80,  -8.66,  -3.20,  -9.27
192906,   8.18,   2.37,   1.02,   3.85,  16.79,  20.07,   1.04,   8.04,  10.71,  12.66,  17.88,   6.64,   6.43,  23.47,   9.54,   6.34,  12.24
192907,   4.81,   2.51,  -0.92,  -3.80,   8.47,   5.31,   2.04,   3.89,   3.47,   4.67,   9.68,  -3.68,   7.86,   9.14,   1.00,   8.43,   7.19
192908,   4.30,   7.93,  11.80,   0.54,   7.24,  11.95,   6.24,   2.98,  11.82,   9.76,  10.02,   2.68,   7.54,   9.05,   8.05,   6.13,  10.26
192909,  -2.29,  -4.14,  -3.00,  -3.59,   6.84,  -7.03,  -6.26,  -2.43,  -8.96,  -5.16,  -5.92,  -9.29,  -7.92,   1.32,  -5.45,  -5.93,  -3.20
192910, -14.87, -11.43, -10.19, -16.64, -33.40, -24.89,  -4.82, -15.95, -15.50, -21.61, -25.16, -28.40,  -9.66, -30.04, -24.00, -29.40, -18.67
192911,  -9.59, -12.20,  -6.47, -13.45, -12.55, -16.22,  -7.48, -10.30, -13.83, -16.07, -16.21, -17.58,  -8.11, -14.64, -12.65, -14.02, -12.78
192912,   0.02,  -2.82,  -0.88,  -1.88,   3.90,   6.63,   1.93,  -1.36,  -0.45,   5.55,   8.04,   5.03,   0.26,   7.94,  -6.07,   0.16,   0.70
